function,equanimity_subsets,equanimity_subsets_normalized,equanimity_importance,entanglement
0101101100000111,-3.5,0.535156,0.5,6
01001011111,-1.4388,0.611979,0.5625,7
000010001110111,-5.04297,0.46875,0.375,6
10001000001111,-2.08854,0.602865,0.5,6
0011010101,-2.65755,0.611979,0.4375,7
1000011111110001,-1.52214,0.606771,0.5625,7
100110000011101,-2.2513,0.572917,0.5,7
0000000110111,-2.07422,0.625,0.4375,7
1010011010001011,-2.6875,0.574219,0.5625,7
0000000110101001,-2.07422,0.625,0.4375,5
0110010100001011,-2.02214,0.598958,0.5625,8
0000010110010011,-2.42188,0.59375,0.5,6
0011101011110001,-2.83464,0.559896,0.5,7
0111000010101101,-1.77083,0.596354,0.5625,7
1100111011001,-5.125,0.457031,0.375,7
1011011100001011,-3.5013,0.541667,0.5,6
1010101011110111,-2.88672,0.585938,0.375,5
110011111010011,-2.42188,0.59375,0.5,6
110000100010111,-2.02214,0.598958,0.5625,6
10000110001111,-1.0638,0.658854,0.6875,6
100000001110111,-5.04297,0.46875,0.375,6
0001100100011011,-3.0638,0.533854,0.4375,6
0111001100101001,-2.6875,0.574219,0.5625,7
1111100010001111,-1.83854,0.606771,0.5,4
1001001001101,-1.25521,0.690104,0.75,5
001000110110111,-2.58333,0.557292,0.5,8
0010101111110111,-2.74089,0.606771,0.4375,7
1100010011101101,-4.3138,0.502604,0.4375,7
1000011001000111,-2.10547,0.59375,0.5625,8
1001010001010001,-2.60938,0.605469,0.5625,7
1011111001101001,-1.25521,0.690104,0.75,5
001111010000101,-2.83464,0.559896,0.5,6
11010100100111,-3.16667,0.544271,0.5,6
00010100110101,-3.48438,0.550781,0.4375,7
010011111010101,-3.0638,0.533854,0.4375,6
0110000011011,-3.00521,0.580729,0.5,7
11111010101111,-2.65755,0.611979,0.4375,7
11111110011011,-2.74089,0.606771,0.4375,7
1101000111000001,-3.0638,0.533854,0.4375,6
01000000111011,-4.29688,0.511719,0.375,7
1000011011100101,-1.70833,0.611979,0.625,6
01100011000101,-1.79688,0.644531,0.625,6
10111011010001,-2.58333,0.557292,0.5,4
1101011001010111,-2.42188,0.59375,0.5,7
1001010110111011,-1.83854,0.606771,0.5,7
0011111010010101,-1.20964,0.638021,0.625,6
1011001101100111,-2.42188,0.59375,0.5,7
0100011010011011,-1.54167,0.622396,0.625,7
010100100001101,-1.50521,0.615885,0.5,6
001110000011011,-2.10547,0.59375,0.5625,7
11111011011001,-2.67188,0.589844,0.5,7
1010001110011011,-2.83464,0.559896,0.5,8
101001100001,-1.84505,0.651042,0.5,7
0001111101011111,-4.28255,0.533854,0.3125,5
11111011100111,-1.92839,0.645833,0.5,7
1001000111010011,-2.58333,0.557292,0.5,8
1001111111111,-1.34505,0.658854,0.5,6
011000011000011,-0.671875,0.703125,0.75,6
1010001011000011,-2.2513,0.572917,0.5,6
1000110001111111,-3.23438,0.554688,0.4375,7
0101100010000011,-0.796875,0.671875,0.625,7
001000110011111,-3.5,0.535156,0.5,6
001011001011,-1.83854,0.606771,0.5,6
0110000100001,-0.9375,0.730469,0.5,7
011110001110111,-2.42188,0.59375,0.5,6
0110001111101,-1.77083,0.596354,0.5625,8
11000110001111,-1.0625,0.652344,0.6875,7
1111100001111111,-1.64583,0.674479,0.375,5
01000001110001,-2.74089,0.606771,0.4375,7
00001110000101,-2.07422,0.625,0.4375,7
11101101000111,-2.6888,0.580729,0.5625,7
10111001101001,-2.10417,0.58724,0.5625,8
001011010100001,-1.38021,0.658854,0.625,6
111110110010011,-3.00521,0.580729,0.5,7
1111100001001001,-2.10417,0.58724,0.5625,8
1101111100010101,-4.29688,0.511719,0.375,7
010101100101011,-2.58333,0.557292,0.5,4
111010001001011,-1.75,0.644531,0.75,7
001001011000101,-1.60938,0.632812,0.5625,7
0101111011011101,-2.65755,0.611979,0.4375,7
0100010001000111,-3.71354,0.52474,0.375,5
0001110111,-2.08854,0.602865,0.5,6
01100010001101,-1.60938,0.632812,0.5625,8
1011111101011101,-1.97917,0.665365,0.375,6
0011001100111,-3.64714,0.520833,0.4375,5
1000110100001111,-4.79167,0.466146,0.375,6
1001011011010001,-1.47917,0.638021,0.6875,8
0011101011101101,-1.60938,0.632812,0.5625,8
010111010100111,-3.64714,0.520833,0.4375,6
0010101101101111,-3.48438,0.550781,0.4375,7
0111111110101101,-1.41667,0.700521,0.4375,7
0111011011010101,-2.67188,0.589844,0.5,7
101111000111011,-1.27604,0.641927,0.5625,7
1111101011111001,-2.5625,0.652344,0.375,5
1100110111,-4.45964,0.481771,0.375,6
1000011001100001,-0.671875,0.703125,0.75,6
1001100000011111,-2,0.570312,0.5,7
101010111011101,-4.63021,0.502604,0.375,5
0110101100111111,-2.51172,0.632812,0.5,5
110110001011001,-2.91667,0.548177,0.5,7
00111011111101,-1.83854,0.606771,0.5,7
0010110101100011,-1.54167,0.622396,0.625,8
10001010100001,-2.65755,0.611979,0.4375,7
1011001011110011,-4.63021,0.502604,0.375,5
0010010010010111,-1.8763,0.619792,0.625,7
100001111111101,-1.60938,0.632812,0.5625,7
01001111000111,-3.5,0.535156,0.5,6
000010101111001,-3.0638,0.533854,0.4375,6
00001110000111,-2.90104,0.563802,0.4375,7
1011100100010101,-2.33333,0.561198,0.5,8
01010111011111,-2.42188,0.59375,0.5,7
011101000111011,-3.0638,0.533854,0.4375,6
1011010010000111,-0.958333,0.635417,0.625,7
110010001001,-2.74089,0.606771,0.4375,7
111100111011111,-1.75,0.691406,0.4375,6
110100101100101,-2.33333,0.561198,0.5,8
01101011100101,-0.9375,0.683594,0.8125,7
111110000001111,-1.52214,0.606771,0.5625,7
1000100111000101,-2.2513,0.572917,0.5,7
110011011110001,-2.2513,0.572917,0.5,7
0011010101111,-2.10417,0.58724,0.5625,8
111000110100111,-1.4388,0.611979,0.5625,7
110011100101001,-2,0.570312,0.5,7
0110011110001111,-2.42188,0.59375,0.5,7
0100111100011,-2.83464,0.559896,0.5,8
011100000111001,-4.45964,0.481771,0.375,6
101111001000101,-3.16667,0.544271,0.5,8
110110110011111,-1.03255,0.690104,0.5625,7
1010001010000011,-2.90104,0.563802,0.4375,7
110001001111001,-3.39583,0.518229,0.4375,7
1000101000100001,-1.92839,0.645833,0.5,7
00100111,-3.04167,0.622396,0.3125,6
00011010001011,-1.60938,0.632812,0.5625,8
0001011001011101,-3.10417,0.559896,0.5625,8
01000100011111,-3.64714,0.520833,0.4375,6
0011110101111101,-2.07422,0.625,0.4375,6
1011100101101111,-1.03255,0.690104,0.5625,7
1101001010000011,-1.4388,0.611979,0.5625,7
0110110001011011,-1.20964,0.638021,0.625,6
1011001100100011,-5.125,0.457031,0.375,7
0001010100011101,-4.45964,0.481771,0.375,6
0011001110000101,-2.2513,0.572917,0.5,7
0110010110100101,-1.52083,0.60026,0.5625,6
000100001111111,-4.79167,0.466146,0.375,6
101001011000101,-2.02214,0.598958,0.5625,6
0100011011011,-2.02214,0.598958,0.5625,7
010111001010101,-2,0.570312,0.5,7
00111101100101,-1.70833,0.611979,0.625,6
010010100001101,-1.83854,0.606771,0.5,5
1000010011001,-3.32422,0.59375,0.4375,6
10110011011111,-1.60938,0.632812,0.5625,7
00000110000101,-1.41667,0.700521,0.4375,7
001001010001011,-1.79688,0.644531,0.625,6
110011110011001,-2.2513,0.572917,0.5,6
1010010001011101,-2.10417,0.58724,0.5625,6
1000000111011111,-3.64714,0.520833,0.4375,7
011111100111,-3.0638,0.533854,0.4375,6
100101011001011,-1.0625,0.652344,0.6875,7
000100110111,-3.23438,0.554688,0.4375,7
111000110000101,-2.83464,0.559896,0.5,7
1011001101101,-2.29167,0.598958,0.625,6
1100110001000001,-3.23438,0.554688,0.4375,7
0111110011110001,-2.67188,0.589844,0.5,7
100100100111001,-2.6888,0.580729,0.5625,7
0110111011001,-3.16667,0.544271,0.5,6
11110111111011,-1.97917,0.665365,0.375,6
10011101,-3.47005,0.572917,0.375,6
1001110100011,-2.2513,0.572917,0.5,8
000111111100011,-2.02214,0.598958,0.5625,8
0101011011001111,-2.42188,0.59375,0.5,6
0100110000001001,-2.65755,0.611979,0.4375,7
01110100000001,-2.88672,0.585938,0.375,6
00011110010101,-2.2513,0.572917,0.5,7
00111101111,-1.77083,0.596354,0.5625,7
0001000001101011,-2.60938,0.605469,0.5625,7
1000001111100011,-2.33333,0.561198,0.5,7
0110011010011111,-1.38021,0.658854,0.625,5
1100010010000101,-2.90104,0.563802,0.4375,7
0011101001001101,-1.52083,0.60026,0.5625,8
000111101011011,-1.20964,0.638021,0.625,7
0110011011101101,-1.60938,0.632812,0.5625,7
1010101010001,-5.10938,0.472656,0.3125,4
1100110111011111,-3.375,0.613281,0.3125,6
1001101001010111,-1.4388,0.611979,0.5625,7
101010010000111,-2.6888,0.580729,0.5625,7
0101110111001001,-2.83464,0.559896,0.5,8
00111000000011,-1.49089,0.638021,0.4375,6
000101101111,-2.10547,0.59375,0.5625,7
110011001011,-3.0638,0.533854,0.4375,6
000111010110011,-1.54167,0.622396,0.625,7
0000111111,-2.31771,0.576823,0.4375,5
000101111100011,-1.77083,0.596354,0.5625,8
0111101101100101,-1.85938,0.628906,0.5625,8
1010010101011,-0.980469,0.664062,0.6875,6
1000100110011,-1.83854,0.606771,0.5,5
01000100100001,-2.5625,0.652344,0.375,5
0010000100011001,-1.84505,0.651042,0.5,7
1000110101010111,-2.83464,0.559896,0.5,7
001010001011111,-3.91667,0.520833,0.5,5
011110010010111,-1.29297,0.632812,0.625,8
001011110100011,-2.91667,0.548177,0.5,7
1110101001101101,-1.60938,0.632812,0.5625,8
0011111010000011,-2.125,0.609375,0.625,7
0010010011010001,-1.85938,0.628906,0.5625,8
101101110100011,-2.02214,0.598958,0.5625,8
101011010100101,-2.125,0.609375,0.625,7
100000010001011,-0.886719,0.710938,0.625,6
111000001011011,-3.10417,0.559896,0.5625,8
1110011000000001,-2.42188,0.59375,0.5,7
010010000010011,-1.11589,0.684896,0.5625,6
000011111010101,-4.20833,0.479167,0.375,5
011101111000111,-1.83854,0.606771,0.5,6
1110000001101011,-2.10417,0.58724,0.5625,8
1000111100001101,-5.125,0.457031,0.375,7
011010111111111,-1.35417,0.716146,0.5,7
0000010010101011,-3.23438,0.554688,0.4375,7
